stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station,location_type
stn-shinjuku,,Shinjuku Station,35.6905530,139.6995790,,1
stn-yokohama,,Yokohama Station,35.4666663,139.6212852,,1
stn-yokohama-west,,"Yokohama Station, West Gate",35.4666663,139.6212852,stn-yokohama,2
stn-odawara,OH 47,Odawara Station,35.2564,139.155,,1
stn-odawara-plt-7,,"Odawara Station, Platform 7",35.25615837475702,139.1553495315576,stn-odawara,0
stn-hakone-itabashi,OH 48,Hakone-Itabashi Station,35.2451330,139.1452250,,1
stn-kazamatsuri,OH 49,Kazamatsuri Station,35.2462447,139.1291964,,1
stn-iriuda,OH 50,Iriuda Station,35.2407720,139.1210600,,1
stn-hakone-yumoto,OH 51,Hakone-Yumoto Station,35.2335,139.1039,,1
stn-tonosawa,OH 52,Tonosawa Station,35.2344380,139.0939520,,1
stn-ohiradai,OH 53,Ohiradai Station,35.2385760,139.0741200,,1
stn-miyanoshita,OH 54,Miyanoshita Station,35.2419920,139.0630100,,1
stn-kowakidani,OH 55,Kowakidani Station,35.2405760,139.0524830,,1
stn-chokoku,OH 56,Chokoku-no-mori Station,35.2464500,139.0508340,,1
stn-gora,OH 57,Gora Station,35.2508,139.0482,,1
stn-koenshima,OH 58,Koen-Shima Station,35.2499080,139.0457050,,1
stn-koenkami,OH 59,Koen-Kami Station,35.2490740,139.0432060,,1
stn-nakagora,OH 60,Naka-Gora Station,35.2481300,139.0405950,,1
stn-kamigora,OH 61,Kami-Gora Station,35.2472410,139.0381780,,1
stn-sounzan,OH 62,Sounzan Station,35.2464630,139.0355950,,1
stn-owakudani,OH 63,Owakudani Station,35.2442960,139.0200970,,1
stn-ubako,OH 64,Ubako Station,35.2445466,139.0059891,,1
togendai,OH 65,Togendai,35.2378800,138.9945710,,1
hakonemachi,OH 66,Hakonemachi,35.1896438,139.0255558,,0
motohakone-ko,OH 67,Motohakone-ko,35.2009123,139.0306655,,0
stn-haneda-intl-bus,,Haneda International Terminal,35.5444068,139.7677875,,1
stn-haneda-t1,,Haneda Terminal 1,35.5491032,139.7846156,,1
stn-haneda-t2,,Haneda Terminal 2,35.5507661,139.7881347,,1
tonosawa-hot-spr,,Tonosawa Onsen (Hot Spring),35.2327790,139.0928042,,0
stn-odawara-east,101,"Odawara Station, East Gate",35.2557317,139.1563618,stn-odawara,2
midoricho,102,Midoricho,35.2541591,139.1584754,,0
103,103,Yubinkyoku-mae,35.25272214741507,139.15926287400802,,0
104,104,Shimin-kaikan-mae,35.251032106522814,139.1593084296032,,0
105,105,Saiwaicho,35.24910662350884,139.15949188429377,,0
106,106,Honcho,35.247805841883434,139.15838651232178,,0
107,107,Miyuki-no-hama,35.24762159029566,139.1576297627939,,0
108,108,Hakone-guchi,35.2472681,139.1556752,,0
109,109,Morohaku-koji,35.247120129564784,139.15334213526165,0
110,110,Hayakawa-guchi,35.24677341748901,139.15081816497243,0
111,111,Itabashi-Mitsuke,35.24612077365975,139.14749717110163,0
112,112,Hakone-Itabashi Station,35.24573175381025,139.14481446767385,,0
113,113,Beaver-tozan-mae,35.24616278931081,139.1425337916597,,0
114,114,Kami-Itabashi,35.24671399711779,139.1405672543017,,0
115,115,Higashi-Kazamatsuri,35.24686239744222,139.1322794904899,,0
116,116,Kazamatsuri Station,35.245242208629946,139.129210899174,,0
117,117,Iriuda Station,35.24079500707092,139.12161346484766,,0
118,118,Higashi-Yamasaki,35.23883179690322,139.11831068277823,,0
119,119,Yamasaki,35.23733201395241,139.1163605239323,,0
120,120,Higashi-Sanmaibashi,35.2339226,139.1115904,,0
121,121,Sanmaibashi,35.2338919,139.1083181,,0
122,122,Hakone-Yumoto Station,35.23307564395176,139.1035451123956,,0
123,123,Onsenba-iriguchi (Hot spring bairiguchi),35.23169715373358,139.10115144899015,,0
124,124,Tonosawa,35.2327658,139.0952128,,0
125,125,Kami-tonosawa,35.23276125598498,139.0928067752374,,0
126,126,Deyama,35.2336772,139.0866083,,0
127,127,Ohiradai Station,35.238494264934424,139.0737855752611,,0
128,128,Ohiradai,35.2381421,139.0729451,,0
129,129,Miyanoshita Station,35.242894579600865,139.06272202008165,,0
130,130,Miyanoshita-onsen,35.2439858,139.0604836,,0
131,131,Hotel-mae,35.2449681,139.0591103,,0
132,132,Jinja-shita,35.244044459625755,139.0574079461002,,0
133,133,Kami-Sokokura,35.242331387242736,139.05572283813086,,0
134,134,Jakotsuno,35.2413177,139.0545130,,0
135,135,Kowakidani Station,35.24011198817432,139.05347142036538,,0
136,136,Ninotaira-iriguchi,35.2409330,139.0494221,,0
137,137,Kowaki-en,35.2392024,139.0465683,,0
138,138,Yunessun-mae,35.2390027626337,139.0455893979025,,0
139,139,Horai-en,35.23675021438157,139.04735487259853,,0
140,140,Kami-Takanosu,35.23092437071679,139.05061298708378,,0
141,141,Saruno-chaya,35.22928591531084,139.04881568567325,,0
142,142,Fuezuka,35.22561613820781,139.04915455902156,,0
143,143,Yusakamichi-iriguchi,35.22144601114974,139.0503260331526,,0
144,144,Higashi-Ashinoyu,35.22076051796035,139.04452290505665,,0
145,145,Ashinoyu,35.21967260692453,139.04217994058575,,0
146,146,Sogakyodai-no-haka,35.21687293612663,139.03824307416016,,0
147,147,Rokudo-jizo,35.21334458346796,139.03615304601573,,0
148,148,Futago-jaya,35.21068038680401,139.0367435945076,,0
oshiba,149,Oshiba,35.2051387,139.0336078,,0
151,151,Hakone-jinja-iriguchi,35.20268454790703,139.03157164177026,,0
152,152,Motohakone-ko,35.20089013499547,139.03081312887562,,0
153,153,Hakone-shisho-mae,35.198707941723086,139.02959932082123,,0
154,154,Onshi-koen-mae,35.19407582719218,139.0274596348999,,0
155,155,Hakone-sekisho-ato,35.19140445493812,139.02732263155642,,0
156,156,Hakone Hotel-mae,35.19055891014612,139.0265282210146,,0
shin-hatajuku,171,Shin-Hatajuku,35.2117264,139.0615135,,0
232,232,Kiga-onsen-iriguchi,35.24573698805268,139.05671564061652,,0
233,233,Kiga-no-sato,35.2473948609916,139.05305299565867,,0
234,234,Kiga-sakashita,35.25051104153021,139.05217789383227,,0
235,235,Miyaginobashi,35.25157211175828,139.0520512928064,,0
236,236,Miyagino-eigyosho-mae,35.2535434162637,139.05097736887214,,0
237,237,Miyagino,35.255190639689246,139.04882122386704,,0
