route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003483,"Inbound",0,771641,5010117
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003484,"Outbound",1,771653,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003486,"Outbound",1,771651,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003487,"Outbound",1,771654,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003488,"Outbound",1,771645,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003490,"Outbound",1,771641,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003491,"Outbound",1,771649,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003492,"Outbound",1,771650,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003493,"Inbound",0,771645,5010117
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003494,"Inbound",0,771647,5010109
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003495,"Outbound",1,771652,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003496,"Inbound",0,771643,5010109
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003497,"Outbound",1,771644,5010107
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003498,"Inbound",0,771646,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003499,"Inbound",0,771648,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003500,"Inbound",0,771644,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003501,"Inbound",0,771642,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003502,"Inbound",0,771641,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003503,"Inbound",0,771645,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003504,"Inbound",0,771647,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003505,"Inbound",0,771643,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003506,"Inbound",0,771646,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003507,"Inbound",0,771648,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003508,"Inbound",0,771644,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003509,"Inbound",0,771642,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003510,"Inbound",0,771641,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003511,"Inbound",0,771645,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003512,"Inbound",0,771647,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003513,"Inbound",0,771643,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003514,"Inbound",0,771646,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003515,"Inbound",0,771648,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003516,"Inbound",0,771644,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003517,"Inbound",0,771642,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003518,"Inbound",0,771641,5010108
501-263,BLE-Saturday-90-RAIL-21-02-0000010-,4003519,"Inbound",0,771645,5010108
