"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","C0F43128","GO701_21_2","Babylon","2","0","DF671E6C"
"1","C0F43128","GO701_21_3","Penn Station","3","1","DF671E6C"
"1","C0F43128","GO701_21_4","Babylon","4","0","DF671E6C"
"1","C0F43128","GO701_21_5","Penn Station","5","1","DF671E6C"
"1","C0F43128","GO701_21_6","Babylon","6","0","DF671E6C"
"1","C0F43128","GO701_21_7","Penn Station","7","1","DF671E6C"
"1","C0F43128","GO701_21_8","Babylon","8","0","DF671E6C"
"1","C0F43128","GO701_21_9","Penn Station","9","1","DF671E6C"
"1","C0F43128","GO701_21_11","Penn Station","11","1","DF671E6C"
"1","C0F43128","GO701_21_12","Babylon","12","0","DF671E6C"
"1","C0F43128","GO701_21_13","Penn Station","13","1","DF671E6C"
"1","C0F43128","GO701_21_14","Babylon","14","0","DF671E6C"
"1","C0F43128","GO701_21_15","Atlantic Terminal","15","1","C85CC273"
"1","C0F43128","GO701_21_16","Babylon","16","0","DF671E6C"
"1","C0F43128","GO701_21_17","Penn Station","17","1","DF671E6C"
"1","C0F43128","GO701_21_18","Babylon","18","0","DF671E6C"
"1","C0F43128","GO701_21_22","Babylon","22","0","DF671E6C"
"1","C0F43128","GO701_21_24","Babylon","24","0","A8F61878"
"1","C0F43128","GO701_21_25","Penn Station","25","1","DF671E6C"
"1","C0F43128","GO701_21_27","Atlantic Terminal","27","1","C85CC273"
"1","C0F43128","GO701_21_28","Babylon","28","0","A8F61878"
"1","C0F43128","GO701_21_29","Penn Station","29","1","DF671E6C"
"1","C0F43128","GO701_21_31","Penn Station","31","1","DF671E6C"
"1","C0F43128","GO701_21_32","Babylon","32","0","DF671E6C"
"1","C0F43128","GO701_21_33","Atlantic Terminal","33","1","C85CC273"
"1","C0F43128","GO701_21_35","Penn Station","35","1","DF671E6C"
"1","C0F43128","GO701_21_36","Babylon","36","0","DF671E6C"
"1","C0F43128","GO701_21_38","Babylon","38","0","A8F61878"
"1","C0F43128","GO701_21_39","Atlantic Terminal","39","1","C85CC273"
"1","C0F43128","GO701_21_44","Babylon","44","0","DF671E6C"
"1","C0F43128","GO701_21_45","Penn Station","45","1","DF671E6C"
"1","C5306FBE","GO701_21_46","Babylon","46","0","5E99E8D9"
"1","C0F43128","GO701_21_47","Penn Station","47","1","DF671E6C"
"1","C0F43128","GO701_21_48","Babylon","48","0","A8F61878"
"1","C0F43128","GO701_21_49","Penn Station","49","1","DF671E6C"
"1","C0F43128","GO701_21_52","Babylon","52","0","DF671E6C"
"1","C0F43128","GO701_21_53","Penn Station","53","1","A8F61878"
"1","C0F43128","GO701_21_55","Penn Station","55","1","DF671E6C"
"1","C0F43128","GO701_21_57","Penn Station","57","1","A8F61878"
"1","C0F43128","GO701_21_61","Penn Station","61","1","DF671E6C"
"1","C0F43128","GO701_21_63","Penn Station","63","1","A8F61878"
"1","C0F43128","GO701_21_67","Penn Station","67","1","DF671E6C"
"1","C0F43128","GO701_21_69","Penn Station","69","1","A8F61878"
"1","C0F43128","GO701_21_71","Penn Station","71","1","DF671E6C"
"1","C0F43128","GO701_21_102","Babylon","102","0","A8F61878"
"1","C0F43128","GO701_21_104","Babylon","104","0","DF671E6C"
"1","C0F43128","GO701_21_105","Penn Station","105","1","DF671E6C"
"1","C0F43128","GO701_21_107","Penn Station","107","1","A8F61878"
"1","C0F43128","GO701_21_108","Babylon","108","0","A8F61878"
"1","C0F43128","GO701_21_109","Penn Station","109","1","DF671E6C"
