service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
MQ_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
MQ_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
MV_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
MV_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
MV_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
MV_B1-Saturday-BM,0,0,0,0,1,0,0,20210409,20210625
OF_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
OF_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
OF_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
OH_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
OH_B1-Sunday-BM,0,0,0,0,0,1,0,20210403,20210619
OH_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
OH_B1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210404,20210624
OH_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
OH_B1-Saturday-BM,0,0,0,0,1,0,0,20210409,20210625
