service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CS_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
CS_B1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210609,20210624
CS_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
CS_B1-Saturday-BM,0,0,0,0,1,0,0,20210611,20210625
CS_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
CS_B1-Sunday-BM,0,0,0,0,0,1,0,20210612,20210619
JA_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
JA_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
JA_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
QV_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
QV_B1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210609,20210624
QV_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
QV_B1-Saturday-BM,0,0,0,0,1,0,0,20210611,20210625
QV_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
QV_B1-Sunday-BM,0,0,0,0,0,1,0,20210612,20210619
