service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
CA_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
CA_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
CH_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
CH_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
CH_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
MA_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
MA_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
MA_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
YU_B1-Sunday,0,0,0,0,0,0,1,20210404,20210620
YU_B1-Weekday-SDon,1,1,1,1,1,0,0,20210405,20210625
YU_B1-Saturday,0,0,0,0,0,1,0,20210410,20210626
