trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,timepoint
tozan_rail_1,,,stn-odawara,1,,0
tozan_rail_1,,,stn-hakone-itabashi,2,,0
tozan_rail_1,,,stn-kazamatsuri,3,,0
tozan_rail_1,,,stn-iriuda,4,,0
tozan_rail_1,,,stn-hakone-yumoto,5,,0
tozan_rail_3,,,stn-hakone-yumoto,5,,0
tozan_rail_3,,,stn-ohiradai,7,,0
tozan_rail_3,,,stn-miyanoshita,8,,0
tozan_rail_3,,,stn-kowakidani,9,,0
tozan_rail_3,,,stn-chokoku,10,,0
tozan_rail_3,,,stn-gora,11,,0
tozan_cable_car_1,,,stn-gora,1,,0
tozan_cable_car_1,,,stn-koenshima,2,,0
tozan_cable_car_1,,,stn-koenkami,3,,0
tozan_cable_car_1,,,stn-nakagora,4,,0
tozan_cable_car_1,,,stn-kamigora,5,,0
tozan_cable_car_1,,,stn-sounzan,6,,0
ropeway_1,,,stn-sounzan,1,,0
ropeway_1,,,stn-owakudani,2,,0
ropeway_3,,,stn-owakudani,2,,0
ropeway_3,,,stn-ubako,3,,0
ropeway_3,,,togendai,4,,0
tozan_T_1,,,stn-odawara-east,1,,0
tozan_T_1,,,midoricho,1,,0
tozan_T_1,,,honcho,2,,0
tozan_T_1,,,hakoneguchi,2,,0
tozan_T_1,,,stn-hakone-itabashi,2,,0
tozan_T_1,,,stn-kazamatsuri,3,,0
tozan_T_1,,,stn-iriuda,4,,0
tozan_T_1,,,sanmaibashi-east,8,,0
tozan_T_1,,,sanmaibashi,9,,0
tozan_T_1,,,122,10,,0
tozan_T_1,,,123,11,,0
tozan_T_1,,,tonosawa,12,,0
tozan_T_1,,,stn-ohiradai,70,,0
tozan_T_1,,,ohiradai,71,,0
tozan_T_1,,,stn-miyanoshita,72,,0
tozan_T_1,,,miyanoshita-hot-spr,73,,0
tozan_T_1,,,hotel-mae,74,,0
tozan_T_1,,,miyagino,80,,0
tozan_T_1,,,myojindaira,81,,0
tozan_T_1,,,itari,82,,0
tozan_T_1,,,hyoseki,89,,0
tozan_T_1,,,shinanoki,90,,0
tozan_T_1,,,sengokuhara-shogakko,91,,0
tozan_T_1,,,sengoku,92,,0
tozan_T_1,,,sengoku-annaijo,93,,0
tozan_T_1,,,sengokukara-bunka,94,,0
tozan_T_1,,,249,95,,0
tozan_T_1,,,250,96,,0
tozan_T_1,,,251,97,,0
tozan_T_1,,,sengoku-kogen,98,,0
tozan_T_1,,,253,99,,0
tozan_T_1,,,254,100,,0
tozan_T_1,,,255,101,,0
tozan_T_1,,,256,102,,0
tozan_T_1,,,257,103,,0
tozan_T_1,,,258,104,,0
tozan_T_1,,,259,105,,0
tozan_T_1,,,togendai,120,,0
tozan_TP_1,,,stn-odawara-east,1,,0
tozan_TP_1,,,midoricho,1,,0
tozan_TP_1,,,honcho,2,,0
tozan_TP_1,,,hakoneguchi,2,,0
tozan_TP_1,,,stn-hakone-itabashi,2,,0
tozan_TP_1,,,stn-kazamatsuri,3,,0
tozan_TP_1,,,stn-iriuda,4,,0
tozan_TP_1,,,sanmaibashi-east,8,,0
tozan_TP_1,,,sanmaibashi,9,,0
tozan_TP_1,,,122,10,,0
tozan_TP_1,,,123,11,,0
tozan_TP_1,,,tonosawa,12,,0
tozan_TP_1,,,stn-ohiradai,70,,0
tozan_TP_1,,,ohiradai,71,,0
tozan_TP_1,,,stn-miyanoshita,72,,0
tozan_TP_1,,,miyanoshita-hot-spr,73,,0
tozan_TP_1,,,hotel-mae,74,,0
tozan_TP_1,,,miyagino,80,,0
tozan_TP_1,,,myojindaira,81,,0
tozan_TP_1,,,itari,82,,0
tozan_TP_1,,,hyoseki,89,,0
tozan_TP_1,,,shinanoki,90,,0
tozan_TP_1,,,sengokuhara-shogakko,91,,0
tozan_TP_1,,,sengoku,92,,0
tozan_TP_1,,,sengoku-annaijo,93,,0
tozan_TP_1,,,sengokukara-bunka,94,,0
tozan_TP_1,,,249,95,,0
tozan_TP_1,,,250,96,,0
tozan_TP_1,,,440,97,,0
tozan_TP_1,,,pola-art,98,,0
tozan_H_1,,,stn-odawara-east,1,,0
tozan_H_1,,,midoricho,2,,0
tozan_H_1,,,honcho,6,,0
tozan_H_1,,,hakoneguchi,10,,0
tozan_H_1,,,stn-hakone-itabashi,12,,0
tozan_H_1,,,stn-kazamatsuri,16,,0
tozan_H_1,,,stn-iriuda,17,,0
tozan_H_1,,,sanmaibashi-east,20,,0
tozan_H_1,,,sanmaibashi,21,,0
tozan_H_1,,,122,22,,0
tozan_H_1,,,123,23,,0
tozan_H_1,,,tonosawa,24,,0
tozan_H_1,,,stn-ohiradai,25,,0
tozan_H_1,,,ohiradai,26,,0
tozan_H_1,,,stn-miyanoshita,29,,0
tozan_H_1,,,miyanoshita-hot-spr,30,,0
tozan_H_1,,,hotel-mae,31,,0
tozan_H_1,,,jakotsuno,34,,0
tozan_H_1,,,stn-kowakidani,35,,0
tozan_H_1,,,ninotaira-iriguchi,36,,0
tozan_H_1,,,kowakien,37,,0
tozan_H_1,,,138,38,,0
tozan_H_1,,,141,41,,0
tozan_H_1,,,142,42,,0
tozan_H_1,,,143,43,,0
tozan_H_1,,,144,44,,0
tozan_H_1,,,145,45,,0
tozan_H_1,,,oshiba,49,,0
tozan_H_1,,,151,51,,0
tozan_H_1,,,motohakone-ko,52,,0
tozan_H_1,,,hakonemachi,57,,0
tozan_R_0,,,stn-odawara-east,1,,0
tozan_R_0,,,122,2,,0
