service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EN_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
EN_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
EN_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
FB_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
FB_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
FB_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
FP_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
FP_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
FP_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
GA_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
GA_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
GA_B1-Saturday-BM,0,0,0,0,1,0,0,20210611,20210625
GA_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
JG_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
JG_B1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210609,20210624
JG_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
JG_B1-Saturday-BM,0,0,0,0,1,0,0,20210611,20210625
JG_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
JG_B1-Sunday-BM,0,0,0,0,0,1,0,20210612,20210619
JG_B1-Weekday-BM,1,1,1,1,0,0,1,20210617,20210617
UP_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
UP_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
UP_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
