service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GH_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
GH_B1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210609,20210624
GH_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
GH_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
KB_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
KB_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
KB_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
WF_B1-Weekday-SDon,1,1,1,1,1,0,0,20210610,20210625
WF_B1-Saturday,0,0,0,0,0,1,0,20210612,20210626
WF_B1-Sunday,0,0,0,0,0,0,1,20210613,20210620
WF_B1-Sunday-BM,0,0,0,0,0,1,0,20210612,20210619
